id,type,name,category,industries,geo_reach,market_demand,sales_volume,brand_reputation
serv118,service,compliance auditing,marketing,"luxury goods and jewelry, equipment rental services, urban planning","south korea, kazakhstan, slovenia",high,medium,high
serv120,service,industry leadership development,cultivation,"philanthropic fundraising services, toys, personal care","timor-leste, tokelau, finland, gambia the",medium,medium,medium
serv122,service,consumer research,accessories,nonprofit organization management,"kyrgyzstan, south sudan",low,low,medium
serv124,service,wholesale distribution,marketing,"storage, retail apparel and fashion, steel","jamaica, ireland",medium,medium,medium
serv126,service,consumer research,processing,"operations consulting, security and protection services, museums","haiti, jordan",low,medium,medium
serv128,service,compliance auditing,technology,"aerospace and defense, social media","fiji islands, serbia",medium,medium,medium
serv130,service,retail customer loyalty programs,education,"electronics and computer distribution, government relationship services, broadcasting - tv","benin, saint kitts and nevis, aruba",low,medium,high
serv132,service,blockchain technology,recreational,"capital markets, building structure and exterior contractors","zambia, guyana, france, trinidad and tobago",high,high,high
pro133,product,cbd product manufacturing,retail,household institutional furniture manufacturing,"greece, nicaragua, chile, american samoa, senegal, canada",low,low,high
serv136,service,market forecasting,education,"ground passenger transportation, insurance carriers, medical and diagnostic laboratories","equatorial guinea, guatemala, hong kong s.a.r., poland",medium,medium,high
pro137,product,product innovation,technology,"paper and paper products, specialty business services",reunion,low,medium,medium
serv140,service,tourism services,recreational,"interior design, internet content and information","france, british indian ocean territory",medium,high,high
pro141,product,product recycling programs,cultivation,cosmetics,"serbia, norway, bangladesh",high,medium,low
pro143,product,trade publication,marketing,"holding companies, office furniture and fixtures manufacturing","sint maarten (dutch part), romania, cura\u00e7ao, uruguay",high,high,high
serv146,service,consumer safety programs,accessories,"real estate - diversified, interurban and rural bus service, wholesale food and beverage","bosnia and herzegovina, tonga, cape verde, argentina",low,low,high
serv148,service,event planning,technology,"higher education, ambulance services, restaurants","saudi arabia, switzerland, aland islands",high,medium,low
serv150,service,medical research,retail,"video and photography equipment repair, fire protection","switzerland, belgium, myanmar",low,medium,low
pro151,product,cbd product manufacturing,accessories,e-learning,"venezuela, panama, estonia",medium,high,medium
serv154,service,data analytics,retail,"golf courses and country clubs, luxury goods","france, gabon",high,low,medium
serv156,service,public relations,marketing,salvage and demolition,"finland, benin",medium,high,medium
pro157,product,retail merchandising,marketing,public policy,montserrat,high,high,high
pro159,product,cbd product manufacturing,recreational,"engineering and construction, software - infrastructure, electrical equipment and parts","new zealand, cape verde, brazil, andorra, samoa",high,medium,medium
serv162,service,customer support services,recreational,hydroelectric power generation,"british indian ocean territory, spain, dominican republic, hungary",high,medium,high
serv164,service,workforce diversity initiatives,processing,"fashion and beauty, performing arts, engineering and construction","saint-martin (french part), wallis and futuna islands",medium,high,low
pro165,product,product branding,cultivation,transit and ground passenger transportation,"western sahara, ireland, yemen",low,high,low
pro167,product,extraction and processing,medical,"artists and writers, dairy, electronic and precision equipment maintenance",tajikistan,low,medium,high
serv170,service,industry networking,retail,"specialty chemicals, child day care services, agriculture","mozambique, central african republic, andorra, new zealand",medium,medium,low
pro171,product,trade publication,recreational,credit services,"puerto rico, french polynesia, martinique, cape verde",high,low,high
serv174,service,financial services,accessories,"broadcasting - radio, medical practices","papua new guinea, indonesia",high,medium,high
serv176,service,legal dispute resolution,recreational,freight and package transportation,"angola, burundi, iraq, armenia, sint maarten (dutch part), french guiana",medium,high,low
serv178,service,legal dispute resolution,accessories,"solar, retail","eswatini, india, brazil, united states minor outlying islands",high,medium,low
serv180,service,waste management solutions,accessories,equipment rental services,"bangladesh, united kingdom",low,low,low
pro181,product,product supply chain transparency,accessories,"real estate services, individual and family services, medical devices","sweden, saint-barthelemy",low,medium,high
serv184,service,educational content creation,recreational,"digital accessibility services, building products and equipment","kosovo, the bahamas, grenada, cuba",low,low,low
pro185,product,retail pos systems,recreational,"banks - regional - us, storage facilities, computer systems","togo, dominican republic, iceland",low,high,low
serv188,service,advocacy organization,cultivation,"auto and truck dealerships, gaming","belarus, guinea-bissau, greenland",high,high,low
pro189,product,product innovation,education,copper,"kuwait, fiji islands, thailand, aruba",medium,medium,high
serv192,service,consumer rights protection,processing,solar electric power generation,"croatia, mauritania",low,low,medium
pro193,product,product innovation labs,retail,"banks - global, sports organizations","china, guyana",high,low,medium
serv196,service,educational outreach,processing,"semiconductor manufacturing, wireless, digital accessibility services","hong kong s.a.r., antigua and barbuda, japan, montserrat, south georgia",low,medium,low
serv198,service,investment firm,cultivation,collective agencies,"brazil, kosovo, jamaica, palau",medium,low,low
pro199,product,product innovation labs,accessories,"specialty industrial machinery, lodging, integrated freight and logistics","aruba, belarus, vanuatu",low,medium,low
serv202,service,data analytics,medical,"drug manufacturers - specialty and generic, engineering and construction",india,low,medium,medium
pro203,product,product supply chain transparency,accessories,"desktop computing software products, digital accessibility services",mozambique,low,medium,medium
serv206,service,consumer research,accessories,"retail sporting goods, warehousing","sierra leone, british indian ocean territory, ecuador",medium,medium,low
serv208,service,market research,retail,"pollution and treatment controls, asset management","turkey, brazil",medium,medium,medium
pro209,product,product safety testing,medical,"recreational facilities and services, aviation","comoros, aland islands, marshall islands, chile, norfolk island",medium,medium,low
serv212,service,financial forecasting,marketing,retail technology,"svalbard and jan mayen islands, gambia the, mongolia",high,low,low
pro213,product,consumer product reviews,processing,"biotechnology research, movies, video and sound","czech republic, namibia, mauritania, british indian ocean territory, slovenia",medium,low,medium
serv216,service,market forecasting,technology,gambling and casinos,"marshall islands, mayotte, hong kong s.a.r.",low,low,medium
serv218,service,market entry strategy,technology,"audio and video equipment manufacturing, fashion and beauty, reit - office","congo, samoa, north macedonia, french southern territories, guatemala",low,low,high
pro219,product,product compliance auditing,medical,internet content and information,barbados,low,medium,medium
serv222,service,community engagement,processing,lodging,malawi,high,high,low
pro223,product,product ingredient sourcing,compliance,nanotechnology research,"pakistan, cuba, italy, reunion, british indian ocean territory, gabon",low,high,medium
pro225,product,legal compliance software,marketing,retail,"belarus, indonesia",low,low,low
serv228,service,tourism services,marketing,"housing and community development, banks - regional - us, furniture and home furnishings manufacturing","netherlands, bahrain, angola, svalbard and jan mayen islands, malaysia, monaco",high,high,high
serv230,service,financial forecasting,medical,water supply and irrigation,"northern mariana islands, pitcairn island",high,low,high
serv232,service,insurance underwriting,technology,thermal coal,"nauru, iraq, eswatini, china, saint kitts and nevis",medium,low,high
pro233,product,farming equipment,technology,"recreational facilities and services, residential construction","kiribati, sierra leone, italy, maldives, chile",low,high,medium
serv236,service,educational seminars,processing,"retail sporting goods, hydroelectric power generation, furnishings fixtures and appliances","svalbard and jan mayen islands, chile, laos",high,high,low
serv238,service,community outreach,marketing,railroad manufacture,seychelles,high,high,high
serv240,service,advocacy campaign management,accessories,"executive search services, fashion, security","cote d'ivoire (ivory coast), chile, morocco, christmas island, germany",medium,medium,high
serv242,service,compliance services,cultivation,trade shows,"malawi, italy, reunion, aland islands, austria",high,low,medium
pro243,product,product certification,retail,"lumber and wood production, electronic and precision equipment maintenance, alternative medicine","rwanda, romania",medium,high,medium
pro245,product,product compliance auditing,education,biotechnology,"angola, zimbabwe, iraq",high,high,medium
pro247,product,product ingredient sourcing,retail,"residential mental health, medical distribution, beverages - non-alcoholic","zambia, lithuania, cyprus",high,high,low
pro249,product,seed genetics research,marketing,"shell companies, solar, physicians","bolivia, belarus, eritrea, congo, slovenia",medium,low,medium
serv252,service,insurance services,accessories,renewables and environment,"saint helena, philippines, jersey",medium,low,high
serv254,service,wholesale distribution,marketing,"waste management, reit - hotel and motel","colombia, cameroon, iraq",medium,medium,high
serv256,service,venture capital funding,technology,"holding companies, fashion, screenwriters","mayotte, jersey, samoa, dominican republic, virgin islands (british)",low,low,low
serv258,service,wholesale distribution,compliance,industry associates,"romania, cote d'ivoire (ivory coast), cyprus",high,low,high
pro259,product,product compliance auditing,recreational,"forestry and logging, mobile food services, storage","liechtenstein, slovenia",medium,low,medium
pro261,product,seed genetics research,retail,"chiropractors, commercial and industrial equipment rental","eswatini, saint helena, kosovo, bonaire, sint eustatius and saba, fiji islands",medium,high,medium
serv264,service,security services,recreational,"wholesale jewelry, agriculture, construction, mining machinery manufacturing, diversified industrials","gambia the, north korea",medium,low,medium
serv266,service,venture capital funding,technology,"professional training, equipment","guernsey and alderney, moldova, namibia",medium,medium,high
serv268,service,sustainability initiatives,medical,"sanitation services, outsourcing/offshoring","saint pierre and miquelon, netherlands",medium,high,high
pro269,product,product supply chain transparency,processing,writers,"peru, czech republic, svalbard and jan mayen islands, united states",medium,medium,low
serv272,service,industry event sponsorship,recreational,"home improvement retail, oil, gas and mining, defense","denmark, south sudan",low,medium,high
pro273,product,product certification,retail,computer software,"falkland islands, el salvador, italy, gambia the, north macedonia, singapore",low,medium,high
serv276,service,consumer safety programs,technology,"public relations, physical, occupational and speech therapists","australia, zambia, northern mariana islands, burundi, saint-martin (french part), aland islands",low,high,low
serv278,service,public health initiatives,medical,"tutoring, shipping","iran, bangladesh",low,high,low
serv280,service,retail inventory management,education,"apparel stores, rental and leasing services","malta, libya, belgium",medium,medium,low
pro281,product,product design,cultivation,"fossil fuel electric power generation, reit - specialty","south africa, guernsey and alderney, algeria, ecuador, australia",high,medium,low
pro283,product,cbd product manufacturing,accessories,"fabricated metal products, storage",dominica,high,low,high
serv286,service,distribution network,processing,"glass product manufacturing, museums","luxembourg, saint vincent and the grenadines, western sahara",medium,high,low
serv288,service,testing laboratories,medical,"rubber product manufacturing, travel and hospitality","eritrea, maldives, san marino, macau s.a.r., armenia, grenada",high,medium,medium
pro289,product,health and wellness products,education,"blockchain services, rail transportation","lebanon, peru",medium,high,medium
pro291,product,packaging solutions,marketing,"travel and hospitality, recreational facilities and services, political organization",equatorial guinea,medium,low,low
serv294,service,tourism services,processing,oil and gas refining and marketing,"bulgaria, chad, kenya",medium,low,high
pro295,product,product certification,processing,thermal coal,"martinique, montserrat, timor-leste, benin, madagascar, comoros",high,low,high
pro297,product,trade publication,processing,"leather product manufacturing, management consulting, infrastructure operations","greenland, new zealand, greece, bermuda, north korea, zimbabwe",low,high,medium
pro299,product,product ingredient sourcing,marketing,"savings institutions, web development, airlines/aviation","man (isle of), australia",high,medium,medium
pro301,product,trade publication,education,"professional training and coaching, newspapers, plumbing",afghanistan,high,high,high
pro303,product,product supply chain transparency,compliance,"motor vehicle manufacturing, commercial real estate, oil and gas drilling","dominica, gibraltar, sweden, india, azerbaijan, czech republic",low,low,low
serv306,service,workforce training,accessories,"banks - diversified, pet services","cameroon, saint kitts and nevis, turkey, andorra",high,medium,medium
pro307,product,product innovation labs,cultivation,"taxi and limousine service, movies and sound recording","albania, canada",medium,medium,low
pro309,product,product innovation,retail,"industrial automation, auto and truck dealerships","belize, trinidad and tobago",medium,medium,low
serv312,service,educational content creation,education,"retail trade, public health","saudi arabia, cuba, venezuela, saint-barthelemy",high,high,medium
serv314,service,blockchain solutions,processing,waste treatment,poland,low,high,medium
serv316,service,legal compliance training,retail,salvage and demolition,"switzerland, azerbaijan, finland",high,medium,low
serv318,service,social media management,recreational,"metals, funds and trusts","serbia, kazakhstan",medium,low,high
serv320,service,retail inventory management,retail,"machinery, electronic gaming and multimedia",japan,high,high,medium
serv322,service,legal representation,cultivation,"communications equipment manufacturing, rubber product manufacturing","nepal, philippines",low,medium,high
pro323,product,packaging solutions,compliance,"insurance carriers, artificial rubber and synthetic fiber manufacturing","belgium, el salvador, tuvalu, seychelles, bermuda",low,low,high
pro325,product,extraction and processing,education,press and media,"azerbaijan, lebanon, gabon, burundi, trinidad and tobago, saint helena",low,low,high
pro327,product,extraction and processing,marketing,"health and human services, apparel and fashion","reunion, nigeria, south georgia, palau, indonesia, heard island and mcdonald islands",high,low,high
serv330,service,legal advocacy,accessories,railroads,"azerbaijan, aland islands, italy",low,high,low
serv332,service,advertising solutions,marketing,"banks - diversified, seafood product preparation and packaging, agriculture chemical manufacturing","el salvador, cameroon, albania, mozambique, djibouti, mauritius",medium,low,high
pro333,product,product development,cultivation,"translation and localization services, aluminum, metal treatments","saint vincent and the grenadines, senegal, haiti, palau, bosnia and herzegovina, bouvet island",high,low,medium
pro335,product,product ingredient sourcing,cultivation,"civil engineering, executive search services, lighting","anguilla, ethiopia, iraq",medium,low,high
serv338,service,market entry strategy,cultivation,fisheries,bulgaria,high,medium,medium
serv340,service,industry event sponsorship,compliance,personal and laundry services,"barbados, syria",medium,medium,high
pro341,product,product testing,compliance,"computer games, shoes manufacturing","bulgaria, north macedonia, jersey, sudan, gabon, turkey",medium,high,high
serv344,service,financial forecasting,retail,"leisure and entertainment, pharmaceutical retailers","brunei, saint pierre and miquelon, virgin islands (us), jersey, botswana, serbia",low,medium,low
pro345,product,packaging solutions,education,"automation machinery manufacturing, air, water and waste program management, automation","namibia, czech republic, vatican city state (holy see)",low,medium,low
pro347,product,product ingredient sourcing,education,"professional training, airlines and aviation, industrial machinery manufacturing","morocco, guam, malawi",high,low,low
pro349,product,product supply chain transparency,retail,furniture and home furnishings manufacturing,"bermuda, australia, gibraltar, aruba, chile",low,low,high
serv352,service,market entry strategy,retail,"postal services, service industry machinery manufacturing, leisure and travel","georgia, mongolia, jordan, liechtenstein",medium,low,low
pro353,product,product innovation labs,cultivation,"veterinary, web development, communications equipment manufacturing","morocco, aland islands",medium,medium,high
pro355,product,product design,cultivation,translation and localization services,"bhutan, sudan",low,high,low
serv358,service,consumer research,cultivation,audio and video equipment manufacturing,democratic republic of the congo,medium,low,high
serv360,service,compliance services,accessories,"venture capital, farming","bouvet island, indonesia, guernsey and alderney",medium,low,high
serv362,service,legal representation,recreational,metal treatments,"latvia, haiti, palestinian territory occupied, belize, south georgia, united arab emirates",high,low,high
serv364,service,retail store chain,marketing,"paper and paper products, dentists, medical practice","switzerland, uganda, austria, guinea-bissau, american samoa",low,low,low
serv366,service,medical research,technology,"oil and coal product manufacturing, service learning and volunteer, embedded software products",mongolia,high,medium,high
serv368,service,industry leadership development,education,"household appliance manufacturing, civic and social organization","albania, angola, indonesia, estonia, moldova, timor-leste",high,high,medium
serv370,service,industry networking,education,"health and human services, robotics, oil and gas equipment and services",jamaica,medium,medium,medium
pro371,product,product design,medical,"medical distribution, alternative dispute resolution",south sudan,high,high,medium
pro373,product,product innovation,education,"aviation and aerospace component manufacturing, data security software products, online publishing",haiti,high,low,high
serv376,service,market entry strategy,technology,"hospitality, pollution and treatment controls","gambia the, burkina faso, uruguay, croatia, maldives, bangladesh",medium,medium,high
pro377,product,retail merchandising,recreational,logistics and supply chain,saudi arabia,medium,low,medium
pro379,product,product safety testing,retail,"water, sewage and waste management, packaging and containers",trinidad and tobago,medium,low,medium
pro381,product,retail pos systems,accessories,real estate - development,"martinique, andorra, timor-leste, austria",high,low,high
pro383,product,product innovation labs,processing,"libraries, media, glass product manufacturing",central african republic,medium,medium,medium
pro385,product,product innovation labs,accessories,lodging,"comoros, jamaica, south georgia, aruba, grenada, thailand",high,low,low
serv388,service,workforce diversity initiatives,retail,chemical raw materials manufacturing,"bhutan, martinique, mozambique",high,low,high
serv390,service,marketing agency,retail,"reit - office, paper","zambia, botswana, namibia, switzerland, aland islands",high,medium,high
serv392,service,legal compliance training,processing,"civic and social organization, optometrists","marshall islands, luxembourg, russia",low,low,low
serv394,service,insurance services,cultivation,social organizations,"thailand, united kingdom, lebanon",low,high,high
serv396,service,advocacy campaign management,medical,"government relationship services, insurance brokers, wholesale construction materials",jersey,low,medium,medium
serv398,service,legal advocacy,accessories,"fashion accessories manufacturing, sporting goods","new zealand, aland islands, british indian ocean territory",high,high,high
serv400,service,investment banking,recreational,"climate technology product manufacturing, breweries, food and beverage services","tanzania, anguilla, antarctica, andorra",medium,high,medium
pro401,product,product testing,medical,"retail technology, wholesale fuel","bhutan, grenada, marshall islands, namibia, guyana",medium,high,medium
serv404,service,retail inventory management,processing,"glass, ceramics and concrete, network security, insurance",azerbaijan,low,low,medium
serv406,service,waste management solutions,technology,"amusement parks and arcades, travel agencies","uzbekistan, algeria",high,low,high
serv408,service,import and export services,recreational,"commercial and industrial machinery maintenance, real estate, book and periodical publishing",greece,low,high,low
serv410,service,consumer rights protection,compliance,savings institutions,"puerto rico, guinea",low,high,medium
serv412,service,legal compliance training,compliance,"armed forces, digital accessibility services","sudan, botswana, czech republic, sweden",low,low,medium
serv414,service,workforce training,processing,"customer service, security and protection services, primary and secondary education",latvia,high,low,medium
pro415,product,farming equipment,technology,"wireless, agriculture",sierra leone,medium,low,high
pro417,product,cbd product manufacturing,marketing,"home improvement retail, hotels and motels, salvage and demolition",guyana,medium,high,high
serv420,service,workforce diversity initiatives,education,utilities - independent power producers,"antigua and barbuda, malta, haiti, saint lucia, germany",low,low,medium
serv422,service,wholesale distribution,cultivation,"semiconductor equipment and materials, management consulting, wholesale consumer electronics","christmas island, aland islands, austria, germany, montenegro",medium,medium,high
pro423,product,product innovation labs,retail,desktop computing software products,"benin, fiji islands, togo, cambodia",low,high,low
pro425,product,legal compliance software,medical,"broadcasting - radio, surveying and mapping","spain, mongolia, botswana",low,high,medium
pro427,product,trade publication,processing,"horticulture, human resources services, non-profit organizations","cayman islands, senegal",low,low,low
pro429,product,product safety testing,retail,"security and commodity brokerage, waste management, theatrical companies",albania,medium,medium,high
serv432,service,consumer safety programs,technology,"credit intermediation, photography, travel agencies","australia, kenya, vanuatu, cambodia",high,medium,medium
serv434,service,research collaboration,accessories,"philanthropy, bars, taverns and nightclubs, ngos","cayman islands, congo, china, south africa",medium,high,high
serv436,service,real estate services,education,"sports, wind electric power generation",luxembourg,high,medium,medium
serv438,service,blockchain technology,processing,computer networking,"congo, maldives, saint pierre and miquelon, bosnia and herzegovina",medium,high,low
pro439,product,product design,retail,"sanitation services, insurance - specialty","algeria, haiti, dominican republic, tanzania",low,medium,high
serv442,service,real estate services,recreational,savings and cooperative banks,"kosovo, burundi, tuvalu, barbados, ethiopia, bosnia and herzegovina",low,medium,high
serv444,service,retail analytics,processing,"sports and athletic, sound recording, airlines","kazakhstan, cape verde, anguilla, australia, trinidad and tobago",high,high,medium
serv446,service,public policy advocacy,compliance,"reit - diversified, glass, ceramics and concrete, recreational vehicles","australia, saint kitts and nevis",medium,high,medium
pro447,product,product branding,processing,"security system services, beverage manufacturing, event planning","armenia, malaysia, saint helena, guam, seychelles, thailand",medium,low,low
serv450,service,legal representation,retail,"metal fabrication, pharmaceutical manufacturing","croatia, zimbabwe",medium,low,high
pro451,product,extraction and processing,accessories,thermal coal,guernsey and alderney,high,low,high
pro453,product,product supply chain transparency,processing,"electronic gaming and multimedia, recycling","christmas island, saint vincent and the grenadines, libya",low,medium,medium
pro455,product,product testing,compliance,"chemical manufacturing, rubber product manufacturing",afghanistan,medium,low,high
pro457,product,product design,medical,credit services,"nigeria, south sudan, man (isle of), saint vincent and the grenadines, cape verde",medium,high,high
serv460,service,blockchain technology,processing,"safety, farming, commercial real estate","montserrat, guinea, western sahara, bahrain, estonia",high,high,high
pro461,product,packaging solutions,education,administration of justice,"portugal, syria, guernsey and alderney, pitcairn island",low,medium,high
pro463,product,retail merchandising,cultivation,public policy,"taiwan, north korea, zambia, estonia, heard island and mcdonald islands, puerto rico",low,medium,low
pro465,product,product branding,education,biotechnology,"italy, pakistan",medium,medium,low
pro467,product,product supply chain transparency,marketing,"performing arts, telecom services","peru, saint-barthelemy, indonesia",high,low,medium
serv470,service,blockchain technology,compliance,"sporting goods, media and telecommunications","albania, burundi, ghana",low,medium,medium
pro471,product,product development,compliance,"online media, screenwriters",cape verde,low,low,high
serv474,service,legal precedent research,recreational,"internet, service industry machinery manufacturing, computer hardware manufacturing","lebanon, russia, montenegro",medium,high,high
serv476,service,consulting services,retail,"oil and gas equipment and services, tutoring, cosmetology and barber schools","guatemala, mali, fiji islands, guinea, paraguay",medium,medium,medium
serv478,service,technology integration,medical,"alternative fuel vehicle manufacturing, api endpoint","equatorial guinea, moldova, senegal, denmark, tajikistan, egypt",low,high,high
serv480,service,retail inventory management,compliance,"tools and accessories, diversified industrials, mortgage finance","tajikistan, iraq, ukraine",medium,medium,high
serv482,service,investment firm,recreational,"construction, aviation and aerospace",uganda,low,high,low
pro483,product,health and wellness products,medical,"personal care, reit - industrial","nigeria, france, madagascar",medium,medium,high
pro485,product,product design,technology,"appliances, electrical and electronics manufacturing","tuvalu, nigeria",high,high,low
pro487,product,product supply chain transparency,compliance,medical devices,togo,low,medium,high
pro489,product,cbd product manufacturing,education,"museums, climate technology product manufacturing, farm and heavy construction machinery","canada, sri lanka",high,medium,medium
pro491,product,product certification,compliance,"food and beverage manufacturing, tobacco","lesotho, hungary, martinique",high,low,high
serv494,service,wholesale distribution,technology,"reit - diversified, utilities, reit - industrial","antarctica, finland",high,medium,medium
serv496,service,consumer safety programs,medical,museums,"pakistan, kosovo, trinidad and tobago",medium,low,medium
pro497,product,product recycling programs,technology,"urban planning, medical device","british indian ocean territory, suriname, cook islands",low,high,medium
serv500,service,market research,marketing,"biomass electric power generation, paper and forest products, accessible hardware manufacturing","north korea, qatar, japan, new zealand, south georgia, mauritius",high,high,high
serv502,service,financial forecasting,retail,museums and institutions,"iraq, pitcairn island, turks and caicos islands, bhutan, afghanistan",medium,low,medium
