id,username,slug,image,profile_url,num_of_followers,num_of_following,bio,num_of_posted_tweets,created_at,user,total_tweets,total_likes,total_retweets,total_replies,total_quotes,avg_likes,avg_retweets,avg_replies,avg_quotes,original_tweets,replied_to_tweets,quoted_tweets,retweeted_tweets
U62,jeffery36,player-hand-debate,https://placekitten.com/1023/68,https://vaughn.com/,6972,2216,But sure most speech old eat. Yeah TV factor now impact garden. Soon industry foot industry soldier threat.,5125,2019-10-26 00:00:15.713567,62,5,15861,11468,4044,2656,3172.2,2293.6,808.8,531.2,2,2,0,1
U63,xharvey,find-mrs-team-side,https://placekitten.com/322/389,https://stewart.com/,853809,1129,Decade music level item himself. Executive cultural night magazine what.,5360,2023-02-22 02:43:40.215452,63,14,76189,34246,10942,7431,5442.071428571428,2446.1428571428573,781.5714285714286,530.7857142857143,4,1,5,4
U64,cannonbrian,there-record,https://picsum.photos/246/679,http://young.net/,153672,4170,South until cup summer page and. Tough open war modern service person special. Increase ago instead loss.,3684,2022-08-26 05:28:11.965714,64,2,9424,4616,2613,285,4712.0,2308.0,1306.5,142.5,1,1,0,0
U65,brendamason,draw-good-politics,https://dummyimage.com/904x1010,https://espinoza-garcia.com/,330777,3440,Pass accept stock top agree during finally. Because economy report system. Audience catch actually beautiful. North score consumer section.,7795,2022-11-17 01:32:41.339244,65,10,42039,24205,11943,5798,4203.9,2420.5,1194.3,579.8,4,3,1,2
U66,weaverbarbara,break-without-hard,https://picsum.photos/64/646,https://morrison-rogers.com/,164698,994,"Speak edge unit live camera safe. Care describe day pick write full.
Determine speech attack direction. Or course still two on.",5840,2024-06-28 23:54:44.638255,66,19,115697,48936,16857,12032,6089.315789473684,2575.5789473684213,887.2105263157895,633.2631578947369,6,4,5,4
U67,anthonywu,let-prevent-hear,https://placekitten.com/755/209,https://jones.com/,753290,2613,Last help teacher campaign staff mother only. Thus by worker listen newspaper. Scientist help degree cup suggest argue source.,7414,2021-10-20 01:37:16.710746,67,3,7013,8990,2947,2075,2337.6666666666665,2996.6666666666665,982.3333333333334,691.6666666666666,0,1,0,2
U68,lcastro,push-sit-check,https://dummyimage.com/524x479,https://www.rivera-johnson.com/,417766,2142,"Fire father model find voice really avoid. Back culture soldier.
Executive rule detail. Imagine position remember whom rate site. Stuff nor institution.",6453,2022-10-29 09:36:36.103542,68,6,17661,7889,7106,2533,2943.5,1314.8333333333333,1184.3333333333333,422.1666666666667,1,2,1,2
U69,timothyroberts,study-foreign,https://placekitten.com/337/712,http://hoffman.com/,169417,2591,Both how student sound measure learn agent animal. Model remember fly. Feeling level learn response growth girl.,5664,2021-05-04 03:49:29.325863,69,12,42703,43681,12638,5823,3558.5833333333335,3640.0833333333335,1053.1666666666667,485.25,7,1,3,1
U70,hayesthomas,when-direction,https://dummyimage.com/652x669,https://bailey-perez.com/,935864,1622,Military Democrat must point bar cause structure mother. Between different rise live test push maintain.,4368,2020-02-23 15:17:24.404152,70,20,96781,51696,17174,10880,4839.05,2584.8,858.7,544.0,6,7,4,3
U71,linda57,choose-answer-job,https://picsum.photos/785/756,http://lozano.net/,149891,2193,Bag write best dark standard stay radio. Car law figure a task full way. Set phone hear take ground thank response.,1805,2022-02-19 01:31:55.036048,71,13,55931,31354,13850,6841,4302.384615384615,2411.846153846154,1065.3846153846155,526.2307692307693,3,5,3,2
U72,juliealexander,upon-with-military,https://picsum.photos/866/268,http://nunez-hernandez.com/,232264,411,"Purpose white garden assume early stuff whether story. Interest when she might.
Modern property strong where whatever. Gas from mention nearly type tell small.",2151,2020-04-03 00:32:06.987182,72,6,28315,17685,6558,2973,4719.166666666667,2947.5,1093.0,495.5,2,1,1,2
U73,susan25,majority-ago-black,https://picsum.photos/694/440,http://www.hayden-martinez.info/,904671,1840,"Medical front individual simple. Campaign general believe list focus production sort stuff.
Argue most here. Camera else building cup guess interest off. Choice wide must.",3402,2023-09-19 19:31:56.541673,73,7,33707,12740,6419,2951,4815.285714285715,1820.0,917.0,421.57142857142856,2,3,1,1
U74,elizabeth62,until-as-others,https://placekitten.com/1024/624,https://www.robertson-poole.com/,746345,222,"Impact walk business. New station carry issue down scene. Recognize small size reflect claim human approach.
Hair amount box heavy me six present. Any image cold clearly like no.",7969,2021-01-27 04:02:35.752059,74,18,97618,49713,19293,8878,5423.222222222223,2761.8333333333335,1071.8333333333333,493.22222222222223,2,5,5,6
U75,caitlin71,people-soldier,https://dummyimage.com/547x226,http://www.palmer-edwards.net/,968053,3829,"Beat factor performance. Study policy into evidence.
Send out buy rate. Adult foot any.
That imagine president wide conference. Chance common manage manage.",4862,2019-08-20 23:49:54.417352,75,12,44838,20107,13799,7654,3736.5,1675.5833333333333,1149.9166666666667,637.8333333333334,2,4,4,2
U76,brianagonzalez,those-movie-then,https://picsum.photos/930/764,https://www.murillo-craig.org/,808871,1906,Take treat anything field owner agree. Consumer bed hit eye. Already pretty mission management fly page.,1238,2020-09-27 14:47:52.310404,76,13,57590,27889,14517,6999,4430.0,2145.3076923076924,1116.6923076923076,538.3846153846154,4,2,2,5
U77,ryan06,free-appear-friend,https://dummyimage.com/632x280,http://martinez.com/,666099,1353,"Information technology health name learn care star. Audience inside themselves since street.
Those health inside discuss it keep successful.",9849,2024-02-22 09:26:29.987298,77,6,18973,17403,4332,2941,3162.1666666666665,2900.5,722.0,490.1666666666667,1,2,2,1
U78,robert97,arrive-ground-again,https://dummyimage.com/558x230,http://www.jones-davis.org/,493642,1340,"Suggest charge catch mention significant whatever. Space team wrong side bar.
Whose talk per have close. Break yourself also news skill front policy.
Baby rest drop test actually ask life.",8133,2021-05-28 23:29:18.223820,78,8,26772,19544,10651,4259,3346.5,2443.0,1331.375,532.375,2,3,2,1
U79,nicolemonroe,industry-think-film,https://picsum.photos/574/902,http://byrd.com/,255270,4691,Another attorney spring soon decision. Single save course the. Ready place admit sit.,9528,2023-12-04 07:33:04.937966,79,4,23980,12347,5573,1319,5995.0,3086.75,1393.25,329.75,2,1,1,0
U80,amanda17,food-off-difference,https://dummyimage.com/403x171,https://hernandez-acevedo.net/,486857,1655,Ability simple reflect test serve month medical. Mean white about if. Moment eight day work although. Day marriage price himself walk morning.,8788,2020-03-19 08:17:29.480613,80,15,76893,38144,14116,8094,5126.2,2542.9333333333334,941.0666666666667,539.6,6,1,2,6
U81,nperkins,thus-partner-only,https://placekitten.com/485/906,https://mason.com/,884025,68,Wear situation physical resource suddenly throughout. Maintain effect on rise.,5221,2020-08-29 23:26:36.596382,81,14,65341,30905,13158,7260,4667.214285714285,2207.5,939.8571428571429,518.5714285714286,4,1,4,5
U82,carolyn91,pattern-share,https://dummyimage.com/870x604,http://morales-lopez.com/,271728,592,"Indicate old wait agent. His race reality fight laugh above.
Point than within something manage local. Tv last quickly too indeed successful why network. Everybody reveal relationship.",9980,2023-04-28 19:48:27.255475,82,18,89524,46804,15804,8840,4973.555555555556,2600.222222222222,878.0,491.1111111111111,7,3,5,3
U83,angelicabowen,significant-trouble,https://placekitten.com/485/405,https://www.martinez.com/,995163,2240,Responsibility society figure kind. Huge avoid forget leave choose collection bed.,2480,2023-09-06 08:32:11.411364,83,8,47036,21728,10844,4666,5879.5,2716.0,1355.5,583.25,2,1,1,4
U84,brianjacobs,travel-my-record,https://dummyimage.com/226x647,http://www.medina.com/,318589,1523,"Maintain base court system trial through. Away assume degree heavy.
Show music argue list within brother. Seat third activity must. Suffer discuss maintain join situation head.",1254,2022-02-24 15:26:44.792785,84,9,48169,26377,7489,3644,5352.111111111111,2930.777777777778,832.1111111111111,404.8888888888889,1,2,2,4
