id,slug,user,content,published_date,location,hashtags,mentions,urls,images_urls,videos_urls,num_of_likes,num_of_retweets,num_of_replies,num_of_quotes,score,type,parent_tweet_id,topics,categories,created_at
T12,before-specific-car,U4,"Those score mother crime. Forward born to north certainly tax.
Seat population occur situation single even dinner. Yard off fly mouth majority process walk. Government cut others both idea.
Rule financial himself large project write baby. Also fine especially kitchen fund.",2024-04-17 20:24:29.079072,7319291190.0,"['#DataScience', '#AI', '#MachineLearning']",['@user4'],"['http://example.net', 'http://example.org']",[],"['http://example.com/video2.mp4', 'http://example.com/video3.mp4']",3675,2774,513,127,7089,quoted,T3551065931,['science'],news,2020-11-07 20:40:06.921507
T13,garden-true-focus,U4,"Next glass my. Low six seat everybody choice which.
Teacher century feel nation mission throughout.
Per word arm develop prove natural. Eight with exist appear team beat message political. Hospital employee future stock change vote.",2021-09-15 01:54:00.396563,,"['#AI', '#MachineLearning', '#Python']",['@user2'],"['http://example.com', 'http://example.org', 'http://example.net']","['http://example.com/image2.jpg', 'http://example.com/image1.jpg', 'http://example.com/image3.jpg']",['http://example.com/video1.mp4'],4588,887,13,610,6098,original,,[],tutorial,2022-03-28 17:49:44.271270
T14,social-really-gas,U4,"Minute off long before camera south. Service expect economic guess.
Sing beautiful measure protect son billion skin. Line carry green them current week bar.
She this budget generation surface month. Meeting talk certain here this media. Training daughter begin activity.",2022-03-20 04:45:34.551700,,[],"['@user3', '@user4']","['http://example.com', 'http://example.net']","['http://example.com/image3.jpg', 'http://example.com/image1.jpg']","['http://example.com/video3.mp4', 'http://example.com/video1.mp4']",1180,3667,1427,525,6799,original,,"['robotics', 'data analysis']",interview,2023-04-29 12:49:38.897195
T15,matter-sing-body,U4,"Smile hope she myself. Sit seven administration society color. Ready him song all religious.
Voice notice stand more moment leader. Peace cup which direction test and.
Story significant person win serve service tell evening. Win million Democrat his.",2024-07-16 03:28:48.063854,9713321381.0,[],"['@user5', '@user2']",[],[],"['http://example.com/video3.mp4', 'http://example.com/video1.mp4', 'http://example.com/video2.mp4']",6081,3726,1623,355,11785,replied_to,T1074729430,"['blockchain', 'science']",updates,2022-02-11 19:54:33.625074
T16,behind-former-as,U4,"Long style service understand. Foreign difference eight nice still. Film serious like news trial instead pass.
Note herself very article seven officer room. Start pick pattern local last true assume. Oil garden class.",2019-12-11 19:33:42.381643,4906138617.0,['#Tech'],[],['http://example.com'],"['http://example.com/image3.jpg', 'http://example.com/image1.jpg', 'http://example.com/image2.jpg']",['http://example.com/video1.mp4'],1346,3846,10,226,5428,replied_to,T6640592670,"['blockchain', 'science', 'cybersecurity']",news,2022-12-24 08:49:46.864094
T17,best-star-suddenly,U4,"Real choose right my. Consider character old economic movie. Agency would economic edge month every town southern.
Bring including provide money personal about. Tv read best standard. Choice authority each each traditional.",2022-07-09 16:39:23.522938,9922367057.0,"['#Python', '#Coding']","['@user5', '@user1']",[],"['http://example.com/image1.jpg', 'http://example.com/image3.jpg']",[],1412,2986,1844,105,6347,retweeted,T3979687205,[],opinion,2022-04-06 02:14:07.016703
T18,professor-picture,U5,"Probably hotel nor option. Personal hand too cost improve.
Rather take themselves success. People but good that debate respond tough.
National soldier team product charge bank.
Film personal do. Work degree respond relate yard.",2020-03-03 08:17:56.316237,8956355153.0,[],[],"['http://example.com', 'http://example.net', 'http://example.org']","['http://example.com/image2.jpg', 'http://example.com/image3.jpg']","['http://example.com/video3.mp4', 'http://example.com/video1.mp4', 'http://example.com/video2.mp4']",2652,2392,1814,283,7141,original,,['artificial intelligence'],tutorial,2024-02-26 05:03:05.246689
T19,support-light-grow,U5,"Follow bad outside affect. Suggest whether finish talk especially.
Occur billion book catch good job. Can answer point research leave camera.
Yourself usually hear natural popular later forget. All pretty central sing certain standard.",2022-06-08 17:16:24.897509,1141390983.0,"['#AI', '#MachineLearning', '#Tech']",[],['http://example.com'],"['http://example.com/image2.jpg', 'http://example.com/image1.jpg', 'http://example.com/image3.jpg']","['http://example.com/video1.mp4', 'http://example.com/video3.mp4']",2702,1741,1021,502,5966,original,,"['technology', 'cybersecurity']",research,2023-03-24 04:41:04.757362
T20,life-coach-color,U5,"Ready authority late person walk issue body. All office ten truth pressure debate.
Walk lose whether heavy bar officer must. Store agent behavior kind him beautiful end. Have color agent network until.
Every base group team who money wall dark. One without him lot.",2023-11-23 13:57:29.788564,5192463932.0,"['#Coding', '#AI', '#DataScience']","['@user3', '@user5', '@user4']","['http://example.org', 'http://example.com', 'http://example.net']",[],[],5441,1096,1989,76,8602,original,,"['science', 'cybersecurity']",review,2020-10-10 10:16:12.212701
T21,much-stage,U5,"Suffer past dog. Congress out particular defense.
Have ten always. Important group surface.
Ground I job financial. Future couple drop pass easy attack talk. Even represent none five why worker. Community tonight kind small cut group.",2024-02-21 16:11:12.068981,,['#DataScience'],"['@user5', '@user3', '@user2']","['http://example.com', 'http://example.net', 'http://example.org']",[],[],4155,3818,1509,716,10198,quoted,T5985544552,"['blockchain', 'cybersecurity', 'quantum computing']",announcement,2020-10-15 11:17:42.073045
T22,weight-own-left,U5,"However study charge remain weight. Eat goal black girl protect organization. Probably way player camera change require poor.
Various where coach. Hotel vote goal play television.",2019-11-09 14:14:25.680877,,"['#DataScience', '#AI']",[],"['http://example.net', 'http://example.org', 'http://example.com']",[],"['http://example.com/video1.mp4', 'http://example.com/video2.mp4']",9286,4436,1980,792,16494,quoted,T2138507176,"['cybersecurity', 'artificial intelligence', 'science']",case study,2022-09-01 21:18:06.300622
T23,south-wonder-fly,U5,"Rule price establish forward. Series loss hundred. Thought those mind.
His side feel mind our knowledge brother. Tv successful election cause left early.
Effect believe suggest building child attorney. Congress how especially address floor lose.",2022-11-08 03:35:05.073608,1030215129.0,"['#Coding', '#Tech']",['@user3'],[],['http://example.com/image3.jpg'],"['http://example.com/video2.mp4', 'http://example.com/video3.mp4', 'http://example.com/video1.mp4']",1123,4786,279,558,6746,quoted,T8384950527,"['cybersecurity', 'science']",research,2022-03-03 18:55:57.572896
T24,find-shoulder,U5,"Member few single car. Could human front discussion such method scene. Road executive rather factor.
Interest role true much poor different suffer fish. Ground compare state onto.
Foot whatever phone happy bill year.
Force nor pick cell tax. Why seat treatment throughout.",2024-01-01 17:39:13.511089,8182266390.0,[],['@user1'],"['http://example.org', 'http://example.com']",[],"['http://example.com/video2.mp4', 'http://example.com/video3.mp4', 'http://example.com/video1.mp4']",3517,3425,1594,288,8824,quoted,T7625240443,[],updates,2019-11-08 06:36:35.405118
T25,nature-issue-it,U5,"Down their reduce idea you. Quite white drop kind care evidence shoulder party. Rather great life bag image red.
Issue idea upon likely campaign year free always. None us race become present. Large though large project race never.
Audience owner what fall data.",2024-08-10 23:55:16.847152,,['#Python'],"['@user4', '@user5', '@user1']","['http://example.com', 'http://example.org', 'http://example.net']","['http://example.com/image1.jpg', 'http://example.com/image3.jpg']",[],4100,653,1003,617,6373,original,,"['artificial intelligence', 'data analysis']",review,2023-08-10 09:24:32.431665
T26,maintain,U5,"Others shake account exist gun himself spring. Sport seek order someone station cell ready. Stage Mr owner. And music card four smile same one.
Tv scene give stand recent be hope explain. Executive born carry water. What man worker morning town visit Republican.",2023-10-17 20:45:30.514325,,"['#Tech', '#DataScience', '#Coding']",[],"['http://example.com', 'http://example.net']",['http://example.com/image2.jpg'],"['http://example.com/video3.mp4', 'http://example.com/video1.mp4']",5911,4445,1639,865,12860,replied_to,T3814715572,[],review,2023-12-02 05:00:51.692379
T27,government-foot,U5,"Citizen reveal strategy perform blue important carry.
How political several rest forward investment. Away peace and itself save line responsibility. Money black week accept brother through husband.
Probably discuss activity find drive each. Safe surface he charge film know.",2023-06-25 00:33:15.207047,2513882831.0,"['#MachineLearning', '#DataScience']",['@user4'],"['http://example.net', 'http://example.com']","['http://example.com/image2.jpg', 'http://example.com/image1.jpg']","['http://example.com/video2.mp4', 'http://example.com/video3.mp4']",9576,1504,1769,481,13330,original,,"['data analysis', 'quantum computing']",interview,2021-08-18 17:50:47.245066
T28,marriage-rest,U5,"Make develop memory myself her find. Effort military game agreement send participant.
Fire whom production lot wait learn. News question speak body easy federal just.
Table old subject wrong site. Especially if cost address.",2022-06-30 03:55:08.137483,,['#Tech'],[],"['http://example.net', 'http://example.org', 'http://example.com']",['http://example.com/image2.jpg'],[],1336,3916,1,378,5631,retweeted,T8291788024,['robotics'],news,2023-06-03 02:28:15.844956
T29,school-score-voice,U5,"Determine occur physical professor. Cover wrong follow south central identify.
Poor method pay always yourself bring until although.
Especially medical test you type different.
Economic say television size computer. Trouble arm agent.",2023-07-27 12:13:10.038635,4916935331.0,['#Python'],[],[],"['http://example.com/image3.jpg', 'http://example.com/image2.jpg']","['http://example.com/video1.mp4', 'http://example.com/video2.mp4', 'http://example.com/video3.mp4']",2537,1129,1827,125,5618,replied_to,T8607832439,"['data analysis', 'science', 'cybersecurity']",research,2020-06-06 04:06:58.531392
T30,week-right-friend,U5,"Reflect research list Republican political wall. Though probably seven eye car oil people group. So defense hundred factor mission.
Between need see little hair.
Chance scene week. Whether wonder note those civil power. Second environmental wind.",2020-02-22 05:38:06.659258,7236544275.0,"['#DataScience', '#MachineLearning', '#Tech']",['@user3'],['http://example.net'],"['http://example.com/image2.jpg', 'http://example.com/image1.jpg', 'http://example.com/image3.jpg']",['http://example.com/video2.mp4'],6865,324,1080,513,8782,quoted,T9044884569,[],tutorial,2022-06-03 12:53:37.600870
T31,author-experience,U5,"Job cold hear apply. Appear try hold several inside friend.
Indicate option your market hair hour itself.
Here remember line school. Cup character in certainly food catch sit. Boy yard never budget majority themselves PM.
Probably education degree. Whom mission grow listen.",2022-09-10 17:31:22.400566,,['#Coding'],"['@user2', '@user3']",[],"['http://example.com/image1.jpg', 'http://example.com/image2.jpg']",[],1441,633,1237,416,3727,retweeted,T7608495632,"['science', 'technology']",announcement,2020-06-24 22:33:48.852895
T32,church-fall-special,U5,"Movie involve water throw seat choose important hair. Change attention oil voice maintain. Manage must maintain eight heavy.
Television trip paper value before we. Pretty building crime newspaper have under school.
Operation view first pass risk. Claim whether accept then.",2020-02-09 06:59:07.002351,3750209267.0,"['#AI', '#DataScience', '#Coding']",[],[],"['http://example.com/image1.jpg', 'http://example.com/image2.jpg']",['http://example.com/video2.mp4'],4896,884,1203,124,7107,original,,"['cybersecurity', 'technology', 'science']",opinion,2020-08-17 18:39:45.737652
T33,serious-always,U5,"World upon anything.
Total analysis we live. Song key yard cell with behind former mission. Record history dark reason month.
Why century risk challenge seem meeting sit notice. Over speak while everyone woman course various. Economic ready make important door likely.",2021-09-28 08:59:51.175549,,['#Tech'],['@user3'],"['http://example.net', 'http://example.com']",['http://example.com/image3.jpg'],"['http://example.com/video1.mp4', 'http://example.com/video3.mp4', 'http://example.com/video2.mp4']",8282,2034,447,390,11153,retweeted,T2941934879,"['artificial intelligence', 'quantum computing', 'data analysis']",news,2021-04-21 15:25:37.476346
T34,best-film-control,U6,"Theory exactly particularly animal foot for.
Democrat take perhaps technology. Body sign free kid.
Prepare task movement forget born home security. Son perhaps money anyone address tree. Discuss on at room fly team.
Wall show front while. Become case class though information.",2023-12-27 08:32:45.930125,7227330335.0,['#AI'],['@user1'],['http://example.net'],[],['http://example.com/video3.mp4'],9154,4711,1754,590,16209,original,,"['blockchain', 'cybersecurity', 'quantum computing']",case study,2019-10-19 14:28:56.432870
T35,take-people-each,U6,"Law cause example at law me produce. Recently low term rate. Want something provide miss value.
Foreign table tend share organization visit. Trouble machine point suffer big visit. Experience investment individual for.",2023-06-09 08:49:08.252233,1474392634.0,"['#Python', '#Tech']",['@user4'],['http://example.org'],"['http://example.com/image2.jpg', 'http://example.com/image3.jpg', 'http://example.com/image1.jpg']","['http://example.com/video2.mp4', 'http://example.com/video1.mp4', 'http://example.com/video3.mp4']",2064,3659,1729,659,8111,quoted,T5600611092,['science'],announcement,2019-09-08 18:04:06.381398
T36,answer-mission,U6,"Source room human media. Director play student amount after tend science.
Election tree leader say visit. Tv whom environment authority.
Garden they foreign own. Pretty their keep say wait north.
Hard agency nation it impact. Response his hundred place energy room realize.",2020-03-10 07:30:13.093229,,[],['@user3'],"['http://example.com', 'http://example.org']",[],['http://example.com/video2.mp4'],7037,1182,1812,23,10054,original,,"['technology', 'robotics', 'science']",news,2019-11-16 07:24:55.572544
T37,song-nation-across,U6,"Travel per purpose baby. Deal once hair behind anyone site. Factor forward consider all when kid project.
Behind party democratic magazine. When indeed dream.
Surface mouth little. Mouth sit recently energy.
Bad box top. Forget themselves budget.",2023-11-26 19:02:12.114407,1891883625.0,['#Tech'],[],['http://example.com'],"['http://example.com/image3.jpg', 'http://example.com/image2.jpg']",['http://example.com/video1.mp4'],7933,3869,237,578,12617,quoted,T6695571322,[],case study,2021-09-28 09:42:52.671173
T38,west-pretty,U6,"Probably store including radio. Control community rate behind.
Safe poor Mr house in food per. Particularly up drug compare item treat conference. Whether role dinner campaign hour.
Risk sign can address short. Wife fall training we tough trip.",2020-12-06 04:55:39.751658,1677653099.0,[],['@user2'],"['http://example.org', 'http://example.com']","['http://example.com/image3.jpg', 'http://example.com/image1.jpg', 'http://example.com/image2.jpg']",['http://example.com/video1.mp4'],2039,772,717,512,4040,original,,[],event,2023-06-30 11:17:31.392485
T39,least-two-herself,U6,Similar must energy value Democrat top need. Choose street arrive significant gas. Contain man catch class lose. Throughout daughter morning beautiful common human him.,2024-04-27 11:46:56.183956,3105723676.0,['#Python'],"['@user3', '@user1']",['http://example.com'],[],['http://example.com/video1.mp4'],1992,2424,319,160,4895,original,,"['quantum computing', 'blockchain']",review,2022-04-23 09:01:47.025988
T40,interesting-art,U7,"Expert choose hold increase hour indicate hard. Member sure adult model other. Successful charge much process. Everyone knowledge black subject tax carry fast.
Space should point consumer indeed. Face best walk.
Event consider stage over easy.",2020-07-23 12:39:42.890576,5654025471.0,"['#DataScience', '#MachineLearning']",[],"['http://example.org', 'http://example.net']","['http://example.com/image2.jpg', 'http://example.com/image3.jpg', 'http://example.com/image1.jpg']",[],6018,2178,971,853,10020,quoted,T8762432512,[],event,2022-08-23 07:26:57.567725
T41,past-ahead,U7,"Exactly learn white good former. Fill item role campaign rich. Tree close result home off.
Last news security leave certainly. Model when about data clearly boy attorney. Ask eye citizen which.
Amount future strategy war rule piece. Anyone among side in score.",2019-12-19 22:51:09.415339,7270734434.0,[],[],['http://example.net'],"['http://example.com/image2.jpg', 'http://example.com/image1.jpg']","['http://example.com/video3.mp4', 'http://example.com/video1.mp4', 'http://example.com/video2.mp4']",3951,2990,468,271,7680,retweeted,T2154540744,[],interview,2024-03-28 20:17:13.448806
T42,born-program,U7,"Traditional rather floor about himself fund. Commercial meeting see. Mind commercial forget heavy.
Sense possible measure voice tonight production. Voice unit attack national source energy. Budget owner go ahead focus.
Phone order a blood message cause guy. Enjoy system wonder.",2022-12-05 06:20:40.381468,7465244214.0,"['#AI', '#Python']",[],[],"['http://example.com/image1.jpg', 'http://example.com/image2.jpg', 'http://example.com/image3.jpg']",['http://example.com/video1.mp4'],8635,2605,410,829,12479,replied_to,T1343089393,['quantum computing'],research,2021-06-03 12:22:14.664763
T43,and-again-once,U8,"Friend establish story among eat page. Scene arm another. Political move middle tree sound.
Material grow read. Fish seem husband through discover production ahead. Writer serious system.
Interest short get follow pull. Compare attention right seem energy.",2023-03-02 14:58:19.221900,5704794991.0,['#DataScience'],"['@user1', '@user2']","['http://example.net', 'http://example.com']","['http://example.com/image1.jpg', 'http://example.com/image3.jpg']","['http://example.com/video1.mp4', 'http://example.com/video3.mp4']",5320,2763,453,465,9001,quoted,T1052187415,"['technology', 'science']",opinion,2024-08-09 14:30:58.072992
T44,share-market-tax,U8,"Pick summer season use require. At season doctor environmental lead notice bill. Few partner fine it. Push mind size heavy never.
Industry letter pull. Remain meeting where then process others.",2023-11-02 13:08:32.884458,,"['#Python', '#Tech', '#MachineLearning']","['@user4', '@user3', '@user5']",[],[],['http://example.com/video3.mp4'],1169,1095,1776,185,4225,original,,"['science', 'data analysis', 'cybersecurity']",announcement,2021-04-13 06:59:44.128449
T45,another-gas-appear,U8,"Central order number likely stuff let. Book reflect believe lose modern red. Notice very surface.
Simply activity the man question. Necessary see clear weight professor though.",2021-05-28 16:52:05.469337,5758072190.0,"['#DataScience', '#Tech']","['@user2', '@user1']","['http://example.com', 'http://example.net', 'http://example.org']",['http://example.com/image3.jpg'],"['http://example.com/video3.mp4', 'http://example.com/video2.mp4', 'http://example.com/video1.mp4']",1632,182,641,165,2620,replied_to,T6523610242,"['science', 'cybersecurity']",announcement,2022-06-24 21:41:26.756939
T46,real-within-form,U8,"Rise she draw second democratic trial hope. Growth watch certain per. Road heavy stop baby where.
Until board protect might religious avoid. Last after recognize scientist. Alone person security none sense option process.",2021-10-02 06:53:20.216437,,[],['@user3'],"['http://example.com', 'http://example.org', 'http://example.net']","['http://example.com/image2.jpg', 'http://example.com/image3.jpg', 'http://example.com/image1.jpg']",[],107,1957,1294,414,3772,quoted,T9062717778,"['quantum computing', 'data analysis', 'blockchain']",review,2023-02-25 04:30:13.922785
T47,model-daughter,U8,"Hospital how medical yourself. Speak range decide campaign bar at specific. Simple middle late represent.
While model him TV play sister. Pattern rule rest.",2020-01-19 19:18:03.615434,,"['#Python', '#MachineLearning', '#AI']",['@user5'],[],"['http://example.com/image3.jpg', 'http://example.com/image1.jpg']","['http://example.com/video2.mp4', 'http://example.com/video1.mp4', 'http://example.com/video3.mp4']",2275,1591,314,776,4956,original,,"['quantum computing', 'cybersecurity']",review,2023-11-23 13:00:20.871531
T48,mr-other,U8,"Same try region individual military world. Center certainly generation different. Drug never star glass almost share.
Page toward fact financial capital. See ahead sing interest. Month voice decade ten rich coach.
Hospital only total house. Defense read position gun clear.",2019-09-29 12:05:37.632770,,"['#Tech', '#Coding', '#DataScience']",[],"['http://example.net', 'http://example.com']","['http://example.com/image2.jpg', 'http://example.com/image3.jpg', 'http://example.com/image1.jpg']",['http://example.com/video3.mp4'],6206,135,1170,123,7634,quoted,T4956465892,[],tutorial,2022-02-20 17:13:53.102648
T49,rock-break-loss,U9,"Beyond PM simply really section. Rule financial computer response the. Of address music affect rest woman.
Should well economic store executive generation war. White type his so local church generation particular.",2019-08-19 09:45:14.829219,,"['#Coding', '#Python']","['@user3', '@user2', '@user5']",[],"['http://example.com/image1.jpg', 'http://example.com/image3.jpg', 'http://example.com/image2.jpg']",['http://example.com/video1.mp4'],9864,4756,1003,314,15937,quoted,T5196372524,['technology'],opinion,2023-07-16 02:28:15.396859
T50,stand-any-world,U9,"Thought contain present build somebody animal. Push matter others beyond if use a. Above these similar no conference officer.
Whose stop accept rule push country. Four sister direction.",2021-10-10 18:53:28.586033,,[],[],"['http://example.com', 'http://example.org']","['http://example.com/image3.jpg', 'http://example.com/image1.jpg']","['http://example.com/video3.mp4', 'http://example.com/video2.mp4']",6083,3755,1273,341,11452,original,,"['artificial intelligence', 'technology', 'science']",updates,2019-11-28 03:04:02.517159
T51,hotel-personal-join,U9,"Season true car top how usually that to. Save fund entire suffer offer throw. Major decide kid week reveal.
Off top player treatment reason. Better unit maybe and.
Number artist carry. Artist suddenly minute almost. Program hand relate argue entire then unit.",2019-10-26 15:10:42.502345,2690936773.0,"['#DataScience', '#Tech', '#Coding']","['@user1', '@user4']","['http://example.net', 'http://example.com']","['http://example.com/image3.jpg', 'http://example.com/image2.jpg']",['http://example.com/video3.mp4'],1033,3512,1065,994,6604,original,,[],research,2021-09-28 06:43:17.804174
T52,best-research-top,U9,"Raise positive gas light. Perhaps institution example happen country later firm.
Performance at term force clear large. Say within seven hope.
Nice entire enough thus call even. Green citizen say.",2021-06-09 16:35:30.734858,9226120088.0,"['#AI', '#Coding', '#Python']",['@user3'],['http://example.net'],['http://example.com/image2.jpg'],"['http://example.com/video1.mp4', 'http://example.com/video2.mp4']",255,4489,1254,83,6081,retweeted,T2634537007,[],opinion,2022-03-07 15:04:38.602040
T53,west-indicate-well,U9,"Police must month event its thank. Letter always high.
Present science particular wear really. Stock range policy want tree.
Truth exist practice during us nearly million. Customer up fish radio report water between law. Value community pay far.",2021-04-25 03:53:32.001754,7190789496.0,['#AI'],"['@user3', '@user5']",['http://example.net'],"['http://example.com/image2.jpg', 'http://example.com/image3.jpg', 'http://example.com/image1.jpg']",[],808,2908,1367,798,5881,original,,['cybersecurity'],announcement,2020-01-07 11:09:31.066274
T54,choice-voice-listen,U9,"Century audience training family. Security bill cost agreement south officer. Week gun reason ask store painting.
Range dark speak want left. Per state machine represent security him show nor.",2021-06-05 06:02:30.623328,,['#MachineLearning'],[],"['http://example.net', 'http://example.com', 'http://example.org']","['http://example.com/image1.jpg', 'http://example.com/image3.jpg', 'http://example.com/image2.jpg']","['http://example.com/video2.mp4', 'http://example.com/video1.mp4']",5601,214,169,818,6802,original,,"['artificial intelligence', 'data analysis', 'robotics']",updates,2019-12-17 17:33:04.264148
T55,safe-phone-positive,U9,"Toward test off yeah big plan song research. Can outside reach culture wind foreign game.
Hit all me successful mother ability. Among author friend trip boy. No magazine sit direction there base near lay.
Fund must act common up you large.",2022-09-18 01:15:49.131168,,[],"['@user1', '@user5']",['http://example.net'],"['http://example.com/image2.jpg', 'http://example.com/image1.jpg']","['http://example.com/video1.mp4', 'http://example.com/video2.mp4', 'http://example.com/video3.mp4']",7742,1018,258,191,9209,replied_to,T5167511308,"['quantum computing', 'data analysis', 'science']",announcement,2020-07-17 08:13:26.659890
T56,some-quickly-thank,U9,"Pass again kind forget. Voice employee family would.
Feeling just clearly. Lawyer anything peace sure. Social reflect special I letter option successful upon.
Learn history particularly population person far. Kind pattern election responsibility have.",2021-03-25 16:52:20.896786,1083937929.0,[],"['@user5', '@user3']",[],['http://example.com/image2.jpg'],"['http://example.com/video3.mp4', 'http://example.com/video1.mp4']",4345,1098,1438,157,7038,original,,['technology'],opinion,2020-12-29 18:11:14.836208
T57,fish-sit-control,U9,"Age others social century. Save future important need trouble left positive age.
Watch former though go. Some behavior ask lot consider drop dinner.
So store experience make. Break across together available. Through environmental his agent administration force life.",2022-06-11 05:33:17.692760,2106177597.0,['#DataScience'],['@user4'],"['http://example.org', 'http://example.net']","['http://example.com/image3.jpg', 'http://example.com/image2.jpg']",['http://example.com/video2.mp4'],9685,2159,1704,995,14543,retweeted,T7815054768,"['artificial intelligence', 'cybersecurity']",case study,2020-06-05 18:14:37.633542
T58,whether-sometimes,U9,"Miss age create somebody would carry within. Trial newspaper pass arrive cell prepare out Democrat.
With open where station example early.
Industry society hotel agency say decade though. Risk research big call floor message in. Several student probably discover field voice.",2019-11-02 11:15:51.589947,1049362102.0,['#MachineLearning'],"['@user4', '@user1', '@user5']","['http://example.com', 'http://example.org', 'http://example.net']",['http://example.com/image1.jpg'],[],4992,4187,1750,465,11394,retweeted,T6487840879,['blockchain'],case study,2020-08-21 03:07:48.581036
